Data;4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões)
01/1990;0,2
02/1990;0,4
03/1990;0,8
04/1990;0,7
05/1990;0,8
06/1990;0,8
07/1990;0,9
08/1990;1,0
09/1990;1,1
10/1990;1,4
11/1990;1,7
12/1990;1,8
01/1991;2,1
02/1991;2,4
03/1991;2,5
04/1991;3,1
05/1991;3,6
06/1991;4,1
07/1991;4,6
08/1991;5,3
09/1991;5,6
10/1991;7,5
11/1991;9,2
12/1991;10,5
01/1992;13,1
02/1992;16,3
03/1992;19,6
04/1992;23,6
05/1992;30,1
06/1992;37,5
07/1992;46,1
08/1992;56,7
09/1992;70,8
10/1992;89,0
11/1992;110,4
12/1992;127,7
01/1993;164,0
02/1993;206,9
03/1993;294,6
04/1993;368,1
05/1993;481,6
06/1993;613,5
07/1993;841,4
08/1993;1.149,5
09/1993;1.578,4
10/1993;2.071,3
11/1993;2.792,8
12/1993;3.534,9
01/1994;4.562,8
02/1994;5.793,0
03/1994;8.520,4
04/1994;12.828,8
05/1994;20.504,2
06/1994;33.126,6
07/1994;40.788,0
08/1994;43.873,4
09/1994;43.836,2
10/1994;45.234,9
11/1994;45.926,2
12/1994;44.210,2
01/1995;47.028,6
02/1995;49.954,5
03/1995;60.024,3
04/1995;57.789,5
05/1995;56.350,5
06/1995;56.726,2
07/1995;58.788,1
08/1995;60.950,3
09/1995;60.610,8
10/1995;63.428,1
11/1995;67.762,9
12/1995;66.577,7
01/1996;64.133,3
02/1996;62.202,2
03/1996;62.987,8
04/1996;64.019,1
05/1996;69.488,7
06/1996;71.103,0
07/1996;74.969,9
08/1996;74.798,8
09/1996;71.744,6
10/1996;77.200,1
11/1996;80.449,1
12/1996;81.667,1
01/1997;77.582,6
02/1997;71.072,8
03/1997;70.461,6
04/1997;73.576,4
05/1997;78.110,8
06/1997;81.202,4
07/1997;82.058,7
08/1997;82.132,5
09/1997;81.987,3
10/1997;87.297,2
11/1997;85.390,1
12/1997;81.216,8
01/1998;79.363,9
02/1998;75.828,1
03/1998;80.508,7
04/1998;81.166,1
05/1998;85.207,5
06/1998;85.562,4
07/1998;86.938,5
08/1998;86.371,3
09/1998;84.733,5
10/1998;87.302,8
11/1998;86.316,5
12/1998;83.051,8
01/1999;80.936,3
02/1999;80.929,1
03/1999;88.802,6
04/1999;87.739,0
05/1999;89.223,0
06/1999;91.746,9
07/1999;91.230,4
08/1999;92.283,4
09/1999;90.611,8
10/1999;95.872,4
11/1999;99.563,1
12/1999;98.772,5
01/2000;92.576,6
02/2000;91.770,4
03/2000;92.579,9
04/2000;91.376,2
05/2000;98.727,0
06/2000;102.685,4
07/2000;103.410,4
08/2000;105.177,8
09/2000;100.307,6
10/2000;106.951,1
11/2000;107.678,0
12/2000;105.851,6
01/2001;102.530,7
02/2001;101.635,3
03/2001;108.303,8
04/2001;107.572,0
05/2001;111.202,2
06/2001;104.949,4
07/2001;110.758,9
08/2001;113.064,7
09/2001;108.700,8
10/2001;116.139,0
11/2001;117.882,0
12/2001;113.016,7
01/2002;112.374,8
02/2002;111.477,1
03/2002;118.444,7
04/2002;120.385,9
05/2002;123.552,5
06/2002;123.424,4
07/2002;126.856,6
08/2002;127.800,1
09/2002;125.137,8
10/2002;133.125,4
11/2002;135.966,6
12/2002;130.241,2
01/2003;127.177,5
02/2003;131.373,6
03/2003;138.690,5
04/2003;141.388,1
05/2003;139.605,8
06/2003;137.993,4
07/2003;145.970,6
08/2003;144.819,4
09/2003;148.559,8
10/2003;154.925,9
11/2003;153.644,4
12/2003;153.801,4
01/2004;144.558,6
02/2004;142.861,3
03/2004;157.363,5
04/2004;156.953,9
05/2004;159.498,9
06/2004;165.342,2
07/2004;171.370,9
08/2004;169.178,9
09/2004;164.702,5
10/2004;170.536,5
11/2004;176.921,5
12/2004;178.462,4
01/2005;163.540,1
02/2005;160.701,6
03/2005;175.468,7
04/2005;177.178,9
05/2005;177.496,7
06/2005;180.881,8
07/2005;184.073,7
08/2005;187.246,6
09/2005;181.538,9
10/2005;189.183,0
11/2005;194.794,5
12/2005;198.480,1
01/2006;185.564,8
02/2006;178.482,2
03/2006;190.223,4
04/2006;185.030,6
05/2006;197.874,3
06/2006;199.071,9
07/2006;206.974,4
08/2006;209.818,0
09/2006;201.055,3
10/2006;214.271,7
11/2006;219.724,1
12/2006;221.359,1
01/2007;211.130,6
02/2007;202.703,9
03/2007;217.588,5
04/2007;215.128,5
05/2007;226.537,7
06/2007;228.988,5
07/2007;233.823,9
08/2007;235.019,1
09/2007;223.002,9
10/2007;241.939,4
11/2007;241.938,8
12/2007;242.461,1
01/2008;237.248,1
02/2008;232.681,3
03/2008;242.125,8
04/2008;248.795,2
05/2008;254.938,0
06/2008;265.791,9
07/2008;278.096,8
08/2008;269.235,7
09/2008;265.270,1
10/2008;280.522,4
11/2008;270.696,8
12/2008;264.400,9
01/2009;249.932,0
02/2009;244.020,2
03/2009;262.174,9
04/2009;259.557,8
05/2009;268.320,2
06/2009;275.699,5
07/2009;285.440,4
08/2009;284.240,7
09/2009;283.162,2
10/2009;301.896,1
11/2009;305.056,7
12/2009;313.538,8
01/2010;288.980,4
02/2010;285.739,0
03/2010;311.678,0
04/2010;307.106,9
05/2010;316.005,2
06/2010;321.032,9
07/2010;332.472,7
08/2010;334.225,3
09/2010;331.236,8
10/2010;344.965,8
11/2010;356.674,5
12/2010;355.729,5
01/2011;333.330,5
02/2011;335.117,4
03/2011;348.082,8
04/2011;349.254,9
05/2011;366.411,1
06/2011;371.046,3
07/2011;373.333,6
08/2011;377.006,0
09/2011;361.994,5
10/2011;378.842,7
11/2011;389.949,5
12/2011;392.012,6
01/2012;367.752,3
02/2012;367.853,1
03/2012;393.868,7
04/2012;382.581,7
05/2012;401.073,1
06/2012;399.470,8
07/2012;415.385,4
08/2012;420.727,8
09/2012;394.335,7
10/2012;423.407,7
11/2012;424.493,0
12/2012;423.810,8
01/2013;414.582,2
02/2013;399.103,8
03/2013;427.928,0
04/2013;439.447,2
05/2013;439.656,6
06/2013;443.476,4
07/2013;459.577,9
08/2013;454.223,1
09/2013;440.333,0
10/2013;468.527,4
11/2013;468.303,0
12/2013;476.460,3
01/2014;460.560,1
02/2014;456.120,1
03/2014;469.299,3
04/2014;476.308,3
05/2014;480.674,9
06/2014;465.337,1
07/2014;490.268,7
08/2014;485.880,6
09/2014;485.976,4
10/2014;502.767,6
11/2014;498.028,6
12/2014;507.731,3
01/2015;481.085,9
02/2015;466.975,0
03/2015;508.609,9
04/2015;493.434,8
05/2015;491.259,3
06/2015;495.286,9
07/2015;511.106,6
08/2015;501.231,0
09/2015;495.889,2
10/2015;517.827,8
11/2015;512.685,8
12/2015;520.394,9
01/2016;489.597,3
02/2016;491.817,9
03/2016;518.810,6
04/2016;509.973,1
05/2016;513.554,4
06/2016;535.464,1
07/2016;532.288,3
08/2016;533.784,6
09/2016;511.113,9
10/2016;525.704,9
11/2016;540.890,3
12/2016;566.328,9
01/2017;527.569,3
02/2017;514.474,3
03/2017;543.925,9
04/2017;524.801,6
05/2017;548.778,7
06/2017;557.356,0
07/2017;558.766,6
08/2017;557.969,1
09/2017;531.835,4
10/2017;554.247,2
11/2017;571.057,7
12/2017;594.697,2
01/2018;564.977,1
02/2018;540.383,7
03/2018;575.506,7
04/2018;576.004,1
05/2018;561.659,6
06/2018;595.789,0
07/2018;599.805,1
08/2018;601.025,9
09/2018;567.506,0
10/2018;603.460,9
11/2018;604.543,3
12/2018;613.479,7
01/2019;590.898,9
02/2019;581.331,3
03/2019;593.403,3
04/2019;606.354,8
05/2019;617.696,3
06/2019;610.315,2
07/2019;639.844,1
08/2019;630.002,6
09/2019;614.156,1
10/2019;641.340,1
11/2019;634.810,4
12/2019;646.870,6
01/2020;620.291,3
02/2020;609.316,0
03/2020;614.255,7
04/2020;543.067,0
05/2020;561.041,5
06/2020;604.651,2
07/2020;630.315,5
08/2020;630.090,4
09/2020;631.329,4
10/2020;653.805,9
11/2020;652.260,0
12/2020;659.897,5
Fonte;BCB-Depec
